time,ax,
06:58:00,418,
06:58:30,418.5,
06:59:00,419,
06:59:30,419.5,
07:00:00,420,
07:00:30,420.5,
07:01:00,421,
07:01:30,421.5,
07:02:00,422,
07:02:30,422.5,
07:03:00,423,
07:03:30,423.5,
07:04:00,424,
07:04:30,424.5,
07:05:00,425,
07:05:30,425.5,
07:06:00,426,
07:06:30,426.5,
07:07:00,427,
07:07:30,427.5,
07:08:00,428,
07:08:30,428.5,
07:09:00,429,
07:09:30,429.5,
07:10:00,430,
07:10:30,430.5,
07:11:00,431,
07:11:30,431.5,
07:12:00,432,
07:12:30,432.5,
07:13:00,433,
07:13:30,433.5,
07:14:00,434,
07:14:30,434.5,
07:15:00,435,
07:15:30,435.5,
07:16:00,436,
07:16:30,436.5,
07:17:00,437,
07:17:30,437.5,
07:18:00,438,
07:18:30,438.5,
07:19:00,439,
07:19:30,439.5,
07:20:00,440,
07:20:30,440.5,
07:21:00,441,
07:21:30,441.5,
07:22:00,442,
07:22:30,442.5,
07:23:00,443,
07:23:30,443.5,
07:24:00,444,
07:24:30,444.5,
07:25:00,445,
07:25:30,445.5,
07:26:00,446,
07:26:30,446.5,
07:27:00,447,
07:27:30,447.5,
07:28:00,448,
07:28:30,448.5,
07:29:00,449,
07:29:30,449.5,
07:30:00,450,
07:30:30,450.5,
07:31:00,451,
07:31:30,451.5,
07:32:00,452,
07:32:30,452.5,
07:33:00,453,
07:33:30,453.5,
07:34:00,454,
07:34:30,454.5,
07:35:00,455,
07:35:30,455.5,
07:36:00,456,
07:36:30,456.5,
07:37:00,457,
07:37:30,457.5,
07:38:00,458,
07:38:30,458.5,
07:39:00,459,
07:39:30,459.5,
07:40:00,460,
07:40:30,460.5,
07:41:00,461,
07:41:30,461.5,
07:42:00,462,
07:42:30,462.5,
07:43:00,463,
07:43:30,463.5,
07:44:00,464,
07:44:30,464.5,
07:45:00,465,
07:45:30,465.5,
07:46:00,466,
07:46:30,466.5,
07:47:00,467,
07:47:30,467.5,
07:48:00,468,
07:48:30,468.5,
07:49:00,469,
07:49:30,469.5,
07:50:00,470,
07:50:30,470.5,
07:51:00,471,
07:51:30,471.5,
07:52:00,472,
07:52:30,472.5,
07:53:00,473,
07:53:30,473.5,
07:54:00,474,
07:54:30,474.5,
07:55:00,475,
07:55:30,475.5,
07:56:00,476,
07:56:30,476.5,
07:57:00,477,
07:57:30,477.5,
07:58:00,478,
07:58:30,478.5,
07:59:00,479,
07:59:30,479.5,
08:00:00,480,
08:00:30,480.5,
08:01:00,481,
08:01:30,481.5,
08:02:00,482,
08:02:30,482.5,
08:03:00,483,
08:03:30,483.5,
08:04:00,484,
08:04:30,484.5,
08:05:00,485,
08:05:30,485.5,
08:06:00,486,
08:06:30,486.5,
08:07:00,487,
08:07:30,487.5,
08:08:00,488,
08:08:30,488.5,
08:09:00,489,
08:09:30,489.5,
08:10:00,490,
08:10:30,490.5,
08:11:00,491,
08:11:30,491.5,
08:12:00,492,
08:12:30,492.5,
08:13:00,493,
08:13:30,493.5,
08:14:00,494,
08:14:30,494.5,
08:15:00,495,
08:15:30,495.5,
08:16:00,496,
08:16:30,496.5,
08:17:00,497,
08:17:30,497.5,
08:18:00,498,
08:18:30,498.5,
08:19:00,499,
08:19:30,499.5,
08:20:00,500,
08:20:30,500.5,
08:21:00,501,
08:21:30,501.5,
08:22:00,502,
08:22:30,502.5,
08:23:00,503,
08:23:30,503.5,
08:24:00,504,
08:24:30,504.5,
08:25:00,505,
08:25:30,505.5,
08:26:00,506,
08:26:30,506.5,
08:27:00,507,
08:27:30,507.5,
08:28:00,508,
08:28:30,508.5,
08:29:00,509,
08:29:30,509.5,
08:30:00,510,
08:30:30,510.5,
08:31:00,511,
08:31:30,511.5,
08:32:00,512,
08:32:30,512.5,
08:33:00,513,
08:33:30,513.5,
08:34:00,514,
08:34:30,514.5,
08:35:00,515,
08:35:30,515.5,
08:36:00,516,
08:36:30,516.5,
08:37:00,517,
08:37:30,517.5,
08:38:00,518,
08:38:30,518.5,
08:39:00,519,
08:39:30,519.5,
08:40:00,520,
08:40:30,520.5,
08:41:00,521,
08:41:30,521.5,
08:42:00,522,
08:42:30,522.5,
08:43:00,523,
08:43:30,523.5,
08:44:00,524,
08:44:30,524.5,
08:45:00,525,
08:45:30,525.5,
08:46:00,526,
08:46:30,526.5,
08:47:00,527,
08:47:30,527.5,
08:48:00,528,
08:48:30,528.5,
08:49:00,529,
08:49:30,529.5,
08:50:00,530,
08:50:30,530.5,
08:51:00,531,
08:51:30,531.5,
08:52:00,532,
08:52:30,532.5,
08:53:00,533,
08:53:30,533.5,
08:54:00,534,
08:54:30,534.5,
08:55:00,535,
08:55:30,535.5,
08:56:00,536,
08:56:30,536.5,
08:57:00,537,
08:57:30,537.5,
08:58:00,538,
08:58:30,538.5,
08:59:00,539,
08:59:30,539.5,
09:00:00,540,
09:00:30,540.5,
09:01:00,541,
09:01:30,541.5,
09:02:00,542,
09:02:30,542.5,
09:03:00,543,
09:03:30,543.5,
09:04:00,544,
09:04:30,544.5,
09:05:00,545,
09:05:30,545.5,
09:06:00,546,
09:06:30,546.5,
09:07:00,547,
09:07:30,547.5,
09:08:00,548,
09:08:30,548.5,
09:09:00,549,
09:09:30,549.5,
09:10:00,550,
09:10:30,550.5,
09:11:00,551,
09:11:30,551.5,
09:12:00,552,
09:12:30,552.5,
09:13:00,553,
09:13:30,553.5,
09:14:00,554,
09:14:30,554.5,
09:15:00,555,
09:15:30,555.5,
09:16:00,556,
09:16:30,556.5,
09:17:00,557,
09:17:30,557.5,
09:18:00,558,
09:18:30,558.5,
09:19:00,559,
09:19:30,559.5,
09:20:00,560,
09:20:30,560.5,
09:21:00,561,
09:21:30,561.5,
09:22:00,562,
09:22:30,562.5,
09:23:00,563,
09:23:30,563.5,
09:24:00,564,
09:24:30,564.5,
09:25:00,565,
09:25:30,565.5,
09:26:00,566,
09:26:30,566.5,
09:27:00,567,
09:27:30,567.5,
09:28:00,568,
09:28:30,568.5,
09:29:00,569,
09:29:30,569.5,
09:30:00,570,
09:30:30,570.5,
09:31:00,571,
09:31:30,571.5,
09:32:00,572,
09:32:30,572.5,
09:33:00,573,
09:33:30,573.5,
09:34:00,574,
09:34:30,574.5,
09:35:00,575,
09:35:30,575.5,
09:36:00,576,
09:36:30,576.5,
09:37:00,577,
09:37:30,577.5,
09:38:00,578,
09:38:30,578.5,
09:39:00,579,
09:39:30,579.5,
09:40:00,580,
09:40:30,580.5,
09:41:00,581,
09:41:30,581.5,
09:42:00,582,
09:42:30,582.5,
09:43:00,583,
09:43:30,583.5,
09:44:00,584,
09:44:30,584.5,
